Distance [mm];Mag_B [tesla]
0.0;0.024484973315190534
0.04;0.024483998070272472
0.08;0.024485833381263575
0.11999999999999998;0.024487947697242232
0.16;0.024488850313180124
0.2;0.024490428748347035
0.23999999999999996;0.024495886349661045
0.28;0.02450702470953266
0.32;0.024517193055779495
0.36;0.024533656855003062
0.4;0.024544658496866226
0.44;0.02455993979184994
0.4799999999999999;0.02457635310179834
0.52;0.02458955961593964
0.56;0.024609223276578038
0.6;0.02463588520815359
0.64;0.0246470370326927
0.68;0.024669959143751787
0.72;0.024695029219936458
0.76;0.024720158497450958
0.8;0.024747951663649376
0.8399999999999999;0.02477539934793946
0.88;0.02480555898507631
0.92;0.024835520583110744
0.9599999999999999;0.024867249207668772
1.0;0.024899756993701037
1.04;0.02493158194879924
1.08;0.024969550279649172
1.12;0.025008730581126237
1.16;0.02505005966945941
1.2;0.02509158404801827
1.24;0.025133615274140472
1.28;0.02517492209128048
1.32;0.025216500139579105
1.36;0.025261569275370946
1.4000000000000001;0.025311627245612863
1.44;0.025365036258669746
1.48;0.025412554082246276
1.52;0.025464095514631285
1.5599999999999998;0.025516272956794702
1.6;0.025570400908043647
1.6400000000000001;0.025627001519037566
1.6799999999999997;0.025685437110025813
1.72;0.025743818719713915
1.76;0.02580401802147042
1.7999999999999998;0.025865640058278603
1.84;0.02593260380079478
1.8800000000000001;0.025998867654068874
1.9199999999999997;0.026065877400146695
1.96;0.026135954866047795
2.0;0.02620704663511496
2.04;0.026279302886281823
2.08;0.026352976214822885
2.1199999999999997;0.02642796952294513
2.16;0.026501628529914823
2.2;0.026577542373612324
2.24;0.026655151256681227
2.2800000000000002;0.026737303935962537
2.32;0.02682234083352177
2.3599999999999994;0.026910158540523515
2.4;0.02700281105802783
2.44;0.027090993697707337
2.48;0.027182761237288012
2.52;0.027284423131424842
2.56;0.02737605825016539
2.5999999999999996;0.027472070538939415
2.64;0.027567969248442036
2.68;0.027663970332725444
2.72;0.027754276414298836
2.7600000000000002;0.027865875995106593
2.8000000000000003;0.027965706391786038
2.8399999999999994;0.02807471430357574
2.88;0.028181964807506146
2.92;0.02829482881782802
2.96;0.028408458703188363
3.0;0.02852245498643541
3.04;0.028635343301374162
3.08;0.028754769958144827
3.1199999999999997;0.02887492507386592
3.16;0.02899733852938678
3.2;0.029119128296715344
3.24;0.029247126392574683
3.2800000000000002;0.029373572074511686
3.3200000000000003;0.029507977774584537
3.3599999999999994;0.02964180041694607
3.4;0.029777336876241078
3.44;0.029913082672610617
3.48;0.030050452465144106
3.52;0.030191023999168547
3.56;0.030331148467774988
3.5999999999999996;0.030481363597491522
3.64;0.030636629727721878
3.68;0.03078897782247638
3.72;0.03094294723827317
3.7600000000000002;0.031095639291039475
3.8000000000000003;0.03125523114250725
3.8399999999999994;0.03141735034148139
3.88;0.0315831334099451
3.92;0.031750613863868085
3.96;0.03191931266626933
4.0;0.032090222203320154
4.04;0.032263655825038026
4.08;0.032435768794238075
4.12;0.03261785377660873
4.16;0.032795120833337646
4.2;0.03298303552683068
4.239999999999999;0.03316969721070166
4.28;0.033364579233488914
4.32;0.03355918457655591
4.36;0.033756128178514214
4.4;0.03395339846740172
4.44;0.03415886591952523
4.48;0.034360899415118856
4.5200000000000005;0.03457055524817373
4.5600000000000005;0.03477994060141111
4.6000000000000005;0.0349939471389918
4.64;0.0352105670223666
4.68;0.0354313067618149
4.719999999999999;0.03565806740962722
4.76;0.03588698598987533
4.8;0.03611258822651285
4.84;0.036338126224142196
4.88;0.03657521577683545
4.92;0.03681787766784843
4.96;0.037064517756448874
5.0;0.03731196564159395
5.04;0.037566295515970675
5.08;0.03782197814940382
5.12;0.038084818756000026
5.16;0.03834925197315558
5.199999999999999;0.03862347763502936
5.239999999999999;0.03889281312276943
5.28;0.03917059361425724
5.32;0.03945013484026855
5.36;0.039734445318463846
5.4;0.04002578996088496
5.44;0.04031832383481506
5.48;0.04061918213058787
5.5200000000000005;0.04092400639468217
5.5600000000000005;0.041234792019556876
5.6000000000000005;0.041542033204438084
5.64;0.04185437406040091
5.679999999999999;0.042176188845076595
5.719999999999999;0.04250822618441357
5.76;0.04283853339424179
5.8;0.04317358343885819
5.84;0.04351155132527034
5.88;0.043855020479991035
5.92;0.044205963589835244
5.96;0.04456577428727732
6.0;0.0449318890475689
6.04;0.045304328592116756
6.08;0.04568102209714052
6.12;0.046058953618018636
6.16;0.046455944617486145
6.199999999999999;0.046857803981656905
6.239999999999999;0.047260706414293405
6.28;0.047667136696762834
6.32;0.04808054064829322
6.36;0.04849986530950491
6.4;0.0489227307299592
6.44;0.04936236234769889
6.48;0.04979887796341107
6.5200000000000005;0.0502403381374211
6.5600000000000005;0.050690223213913845
6.6000000000000005;0.05115567918330756
6.640000000000001;0.05160804666098318
6.679999999999999;0.052089061437762596
6.719999999999999;0.05257729317502075
6.76;0.05306810849720299
6.8;0.0535794204133164
6.84;0.054105665466052034
6.88;0.054631867480208075
6.92;0.05516161098713308
6.96;0.05569996034873418
7.0;0.05624598714910379
7.04;0.0567957191567828
7.08;0.057362144007984714
7.12;0.05793836311843016
7.16;0.05852909955668442
7.199999999999999;0.059120837468724353
7.239999999999999;0.05973075799235992
7.28;0.06035691874202066
7.32;0.06098009632614128
7.36;0.06162781727268445
7.4;0.06227074393524714
7.44;0.06293260021519173
7.48;0.06361258769587871
7.5200000000000005;0.06430089785594906
7.5600000000000005;0.06500543726435905
7.6000000000000005;0.06572680223394484
7.640000000000001;0.0664513773384255
7.679999999999999;0.06720106424313807
7.719999999999999;0.06796108636860416
